regiao,estado,municipio,populacao,casosAcumulado,obitosAcumulado
Centro-Oeste,GO,ABADIA DE GOIAS,8773,4013,49
Sudeste,MG,ABADIA DOS DOURADOS,6989,1941,20
Centro-Oeste,GO,ABADIANIA,20042,2199,55
Sudeste,MG,ABAETE,23237,4246,48
Norte,PA,ABAETETUBA,157698,11868,243
Nordeste,CE,ABAIARA,11737,1360,20
Nordeste,BA,ABAIRA,8739,360,17
Nordeste,BA,ABARE,20086,2993,18
Sul,PR,ABATIA,7457,1772,24
Sul,SC,ABDON BATISTA,2563,539,4
Norte,PA,ABEL FIGUEIREDO,7434,1452,12
Sul,SC,ABELARDO LUZ,17904,2631,70
Sudeste,MG,ABRE CAMPO,13454,2138,19
Nordeste,PE,ABREU E LIMA,99990,5797,261
Norte,TO,ABREULANDIA,2579,524,8
Sudeste,MG,ACAIACA,3994,293,12
Nordeste,MA,ACAILANDIA,112445,6976,297
Nordeste,BA,ACAJUTIBA,15159,752,28
Norte,PA,ACARA,55591,2546,45
Nordeste,CE,ACARAPE,14929,3471,36
Nordeste,CE,ACARAU,62641,7950,121
Nordeste,RN,ACARI,11136,1497,26
Nordeste,PI,ACAUA,7084,256,3
Sul,RS,ACEGUA,4901,1158,8
Nordeste,CE,ACOPIARA,54270,6486,179
Centro-Oeste,MT,ACORIZAL,5399,1697,24
Norte,AC,ACRELANDIA,15256,3475,40
Centro-Oeste,GO,ACREUNA,22366,6487,84
Sudeste,MG,ACUCENA,9470,936,39
Sudeste,SP,ADAMANTINA,35068,11306,187
Centro-Oeste,GO,ADELANDIA,2516,703,6
Sudeste,SP,ADOLFO,3562,1118,28
Sul,PR,ADRIANOPOLIS,5919,2019,31
Nordeste,BA,ADUSTINA,17040,1805,29
Nordeste,PE,AFOGADOS DA INGAZEIRA,37259,10019,81
Nordeste,RN,AFONSO BEZERRA,11035,1342,19
Sudeste,ES,AFONSO CLAUDIO,30586,8571,87
Nordeste,MA,AFONSO CUNHA,6524,461,2
Nordeste,PE,AFRANIO,19635,1673,16
Norte,PA,AFUA,39218,3586,20
Nordeste,PE,AGRESTINA,24885,3146,74
Nordeste,PI,AGRICOLANDIA,5139,1042,11
Sul,SC,AGROLANDIA,10864,2369,35
Sul,SC,AGRONOMICA,5448,1321,15
Norte,PA,AGUA AZUL DO NORTE,27430,1761,19
Centro-Oeste,MT,AGUA BOA,25721,6323,105
Sudeste,MG,AGUA BOA,13735,1190,16
Nordeste,PI,AGUA BRANCA,17411,1949,77
Nordeste,AL,AGUA BRANCA,20196,1114,31
Nordeste,PB,AGUA BRANCA,10234,2182,16
Centro-Oeste,MS,AGUA CLARA,15522,5535,72
Sudeste,MG,AGUA COMPRIDA,1999,600,9
Sul,SC,AGUA DOCE,7145,2406,20
Nordeste,MA,AGUA DOCE DO MARANHAO,12571,1045,10
Sudeste,ES,AGUA DOCE DO NORTE,11019,2880,50
Nordeste,BA,AGUA FRIA,16970,483,13
Centro-Oeste,GO,AGUA FRIA DE GOIAS,5735,1235,10
Centro-Oeste,GO,AGUA LIMPA,1850,411,4
Nordeste,RN,AGUA NOVA,3252,492,6
Nordeste,PE,AGUA PRETA,36771,2456,71
Sul,RS,AGUA SANTA,3748,1063,11
Sudeste,SP,AGUAI,36305,7041,137
Sudeste,MG,AGUANIL,4486,1297,8
Nordeste,PE,AGUAS BELAS,43443,3471,53
Sudeste,SP,AGUAS DA PRATA,8180,2120,39
Sul,SC,AGUAS DE CHAPECO,6486,1320,15
Sudeste,SP,AGUAS DE LINDOIA,18705,5546,65
Sudeste,SP,AGUAS DE SANTA BARBARA,6075,621,25
