regiao,estado,municipio,populacao,casosAcumulado,obitosAcumulado,municipio_estado,votos_Bolsonaro_18,votos_Haddad,votos_Bolsonaro_22,votos_Lula,estado_nome,ISO_code
Centro-Oeste,GO,ABADIA DE GOIAS,8773,4013,49,ABADIA DE GOIAS / GO,4285,1928,5394,3814,Goiás,BR-GO
Sudeste,MG,ABADIA DOS DOURADOS,6989,1941,20,ABADIA DOS DOURADOS / MG,2117,1821,2160,2351,Minas Gerais,BR-MG
Centro-Oeste,GO,ABADIANIA,20042,2199,55,ABADIANIA / GO,5204,1781,5759,2774,Goiás,BR-GO
Sudeste,MG,ABAETE,23237,4246,48,ABAETE / MG,7581,4289,7696,6302,Minas Gerais,BR-MG
Norte,PA,ABAETETUBA,157698,11868,243,ABAETETUBA / PA,19896,61646,25118,72313,Pará,BR-PA
Nordeste,CE,ABAIARA,11737,1360,20,ABAIARA / CE,681,4665,725,5025,Ceará,BR-CE
Nordeste,BA,ABAIRA,8739,360,17,ABAIRA / BA,1742,2694,1836,3282,Bahia,BR-BA
Nordeste,BA,ABARE,20086,2993,18,ABARE / BA,2077,7453,2586,8936,Bahia,BR-BA
Sul,PR,ABATIA,7457,1772,24,ABATIA / PR,2746,1767,2605,1941,Paraná ,BR-PR
Sul,SC,ABDON BATISTA,2563,539,4,ABDON BATISTA / SC,1151,687,1357,774,Santa Catarina,BR-SC
Norte,PA,ABEL FIGUEIREDO,7434,1452,12,ABEL FIGUEIREDO / PA,1371,2491,1768,2357,Pará,BR-PA
Sul,SC,ABELARDO LUZ,17904,2631,70,ABELARDO LUZ / SC,5023,4121,5685,3944,Santa Catarina,BR-SC
Sudeste,MG,ABRE CAMPO,13454,2138,19,ABRE CAMPO / MG,3260,3954,3665,5292,Minas Gerais,BR-MG
Nordeste,PE,ABREU E LIMA,99990,5797,261,ABREU E LIMA / PE,24961,36019,27008,38412,Pernambuco,BR-PE
Norte,TO,ABREULANDIA,2579,524,8,ABREULANDIA / TO,542,856,749,1032,Tocantins,BR-TO
Sudeste,MG,ACAIACA,3994,293,12,ACAIACA / MG,782,1377,787,1783,Minas Gerais,BR-MG
Nordeste,MA,ACAILANDIA,112445,6976,297,ACAILANDIA / MA,27430,25808,31734,27046,Maranhão,BR-MA
Nordeste,BA,ACAJUTIBA,15159,752,28,ACAJUTIBA / BA,1476,5944,1788,6812,Bahia,BR-BA
Norte,PA,ACARA,55591,2546,45,ACARA / PA,7548,22544,11026,24668,Pará,BR-PA
Nordeste,CE,ACARAPE,14929,3471,36,ACARAPE / CE,2769,5839,3526,6262,Ceará,BR-CE
Nordeste,CE,ACARAU,62641,7950,121,ACARAU / CE,6154,23661,9596,26113,Ceará,BR-CE
Nordeste,RN,ACARI,11136,1497,26,ACARI / RN,2282,4000,2305,4932,Rio Grande do Norte,BR-RN
Nordeste,PI,ACAUA,7084,256,3,ACAUA / PI,428,4196,535,4694,Piauí,BR-PI
Sul,RS,ACEGUA,4901,1158,8,ACEGUA / RS,1739,1025,1753,1208,Rio Grande do Sul,BR-RS
Nordeste,CE,ACOPIARA,54270,6486,179,ACOPIARA / CE,3629,23614,5000,25144,Ceará,BR-CE
Centro-Oeste,MT,ACORIZAL,5399,1697,24,ACORIZAL / MT,1937,2526,2355,2838,Mato Grosso,BR-MT
Norte,AC,ACRELANDIA,15256,3475,40,ACRELANDIA / AC,5165,1300,5317,1460,Acre,BR-AC
Centro-Oeste,GO,ACREUNA,22366,6487,84,ACREUNA / GO,6063,4278,6597,5210,Goiás,BR-GO
Sudeste,MG,ACUCENA,9470,936,39,ACUCENA / MG,2103,2410,2069,3346,Minas Gerais,BR-MG
Sudeste,SP,ADAMANTINA,35068,11306,187,ADAMANTINA / SP,15088,3156,14937,5122,São Paulo,BR-SP
Centro-Oeste,GO,ADELANDIA,2516,703,6,ADELANDIA / GO,1387,430,1517,651,Goiás,BR-GO
Sudeste,SP,ADOLFO,3562,1118,28,ADOLFO / SP,2041,661,2005,1113,São Paulo,BR-SP
Sul,PR,ADRIANOPOLIS,5919,2019,31,ADRIANOPOLIS / PR,1456,2251,1537,2468,Paraná ,BR-PR
Nordeste,BA,ADUSTINA,17040,1805,29,ADUSTINA / BA,1188,7361,1562,7694,Bahia,BR-BA
Nordeste,PE,AFOGADOS DA INGAZEIRA,37259,10019,81,AFOGADOS DA INGAZEIRA / PE,4476,15197,4776,16835,Pernambuco,BR-PE
Nordeste,RN,AFONSO BEZERRA,11035,1342,19,AFONSO BEZERRA / RN,1363,4917,1942,5344,Rio Grande do Norte,BR-RN
Sudeste,ES,AFONSO CLAUDIO,30586,8571,87,AFONSO CLAUDIO / ES,10484,6007,10904,6641,Espírito Santo,BR-ES
Nordeste,MA,AFONSO CUNHA,6524,461,2,AFONSO CUNHA / MA,374,4048,548,4640,Maranhão,BR-MA
Nordeste,PE,AFRANIO,19635,1673,16,AFRANIO / PE,2094,8991,2885,10057,Pernambuco,BR-PE
Norte,PA,AFUA,39218,3586,20,AFUA / PA,5684,11169,6268,12643,Pará,BR-PA
Nordeste,PE,AGRESTINA,24885,3146,74,AGRESTINA / PE,2932,11191,3659,11902,Pernambuco,BR-PE
Nordeste,PI,AGRICOLANDIA,5139,1042,11,AGRICOLANDIA / PI,623,2963,640,3165,Piauí,BR-PI
Sul,SC,AGROLANDIA,10864,2369,35,AGROLANDIA / SC,5056,1151,5460,1325,Santa Catarina,BR-SC
Sul,SC,AGRONOMICA,5448,1321,15,AGRONOMICA / SC,2928,430,3073,658,Santa Catarina,BR-SC
Norte,PA,AGUA AZUL DO NORTE,27430,1761,19,AGUA AZUL DO NORTE / PA,3065,2743,4424,3122,Pará,BR-PA
Sudeste,MG,AGUA BOA,13735,1190,16,AGUA BOA / MG,2190,4205,2796,4793,Minas Gerais,BR-MG
Centro-Oeste,MT,AGUA BOA,25721,6323,105,AGUA BOA / MT,8733,2258,11324,3117,Mato Grosso,BR-MT
Nordeste,AL,AGUA BRANCA,20196,1114,31,AGUA BRANCA / AL,812,9520,1004,9400,Alagoas,BR-AL
