regiao,estado,municipio,votos_Bolsonaro,votos_Haddad
Centro-Oeste,GO,ABADIA DE GOIAS,4285,1928
Sudeste,MG,ABADIA DOS DOURADOS,2117,1821
Centro-Oeste,GO,ABADIANIA,5204,1781
Sudeste,MG,ABAETE,7581,4289
Norte,PA,ABAETETUBA,19896,61646
Nordeste,CE,ABAIARA,681,4665
Nordeste,BA,ABAIRA,1742,2694
Nordeste,BA,ABARE,2077,7453
Sul,PR,ABATIA,2746,1767
Sul,SC,ABDON BATISTA,1151,687
Norte,PA,ABEL FIGUEIREDO,1371,2491
Sul,SC,ABELARDO LUZ,5023,4121
Exterior,ZZ,ABIDJA,10,17
Sudeste,MG,ABRE CAMPO,3260,3954
Nordeste,PE,ABREU E LIMA,24961,36019
Norte,TO,ABREULANDIA,542,856
Exterior,ZZ,ABU DHABI,539,138
Sudeste,MG,ACAIACA,782,1377
Nordeste,MA,ACAILANDIA,27430,25808
Nordeste,BA,ACAJUTIBA,1476,5944
Norte,PA,ACARA,7548,22544
Nordeste,CE,ACARAPE,2769,5839
Nordeste,CE,ACARAU,6154,23661
Nordeste,RN,ACARI,2282,4000
Nordeste,PI,ACAUA,428,4196
Exterior,ZZ,ACCRA-GANA,5,9
Sul,RS,ACEGUA,1739,1025
Nordeste,CE,ACOPIARA,3629,23614
Centro-Oeste,MT,ACORIZAL,1937,2526
Norte,AC,ACRELANDIA,5165,1300
Centro-Oeste,GO,ACREUNA,6063,4278
Sudeste,MG,ACUCENA,2103,2410
Sudeste,SP,ADAMANTINA,15088,3156
Centro-Oeste,GO,ADELANDIA,1387,430
Sudeste,SP,ADOLFO,2041,661
Sul,PR,ADRIANOPOLIS,1456,2251
Nordeste,BA,ADUSTINA,1188,7361
Nordeste,PE,AFOGADOS DA INGAZEIRA,4476,15197
Nordeste,RN,AFONSO BEZERRA,1363,4917
Sudeste,ES,AFONSO CLAUDIO,10484,6007
Nordeste,MA,AFONSO CUNHA,374,4048
Nordeste,PE,AFRANIO,2094,8991
Norte,PA,AFUA,5684,11169
