regiao,estado,municipio,votos_Bolsonaro,votos_Lula
Centro-Oeste,GO,ABADIA DE GOIAS,5394,3814
Sudeste,MG,ABADIA DOS DOURADOS,2160,2351
Centro-Oeste,GO,ABADIANIA,5759,2774
Sudeste,MG,ABAETE,7696,6302
Norte,PA,ABAETETUBA,25118,72313
Nordeste,CE,ABAIARA,725,5025
Nordeste,BA,ABAIRA,1836,3282
Nordeste,BA,ABARE,2586,8936
Sul,PR,ABATIA,2605,1941
Sul,SC,ABDON BATISTA,1357,774
Norte,PA,ABEL FIGUEIREDO,1768,2357
Sul,SC,ABELARDO LUZ,5685,3944
Exterior,ZZ,ABIDJA,15,26
Sudeste,MG,ABRE CAMPO,3665,5292
Nordeste,PE,ABREU E LIMA,27008,38412
Norte,TO,ABREULANDIA,749,1032
Exterior,ZZ,ABU DHABI,593,404
Exterior,ZZ,ABUJA,0,0
Sudeste,MG,ACAIACA,787,1783
Nordeste,MA,ACAILANDIA,31734,27046
Nordeste,BA,ACAJUTIBA,1788,6812
Norte,PA,ACARA,11026,24668
Nordeste,CE,ACARAPE,3526,6262
Nordeste,CE,ACARAU,9596,26113
Nordeste,RN,ACARI,2305,4932
Nordeste,PI,ACAUA,535,4694
Exterior,ZZ,ACCRA,4,14
Sul,RS,ACEGUA,1753,1208
Nordeste,CE,ACOPIARA,5000,25144
Centro-Oeste,MT,ACORIZAL,2355,2838
Norte,AC,ACRELANDIA,5317,1460
Centro-Oeste,GO,ACREUNA,6597,5210
Sudeste,MG,ACUCENA,2069,3346
Sudeste,SP,ADAMANTINA,14937,5122
Centro-Oeste,GO,ADELANDIA,1517,651
Exterior,ZZ,ADIS ABEBA,0,0
Sudeste,SP,ADOLFO,2005,1113
Sul,PR,ADRIANOPOLIS,1537,2468
Nordeste,BA,ADUSTINA,1562,7694
Nordeste,PE,AFOGADOS DA INGAZEIRA,4776,16835
Nordeste,RN,AFONSO BEZERRA,1942,5344
Sudeste,ES,AFONSO CLAUDIO,10904,6641
Nordeste,MA,AFONSO CUNHA,548,4640
Nordeste,PE,AFRANIO,2885,10057
Norte,PA,AFUA,6268,12643
Nordeste,PE,AGRESTINA,3659,11902
Nordeste,PI,AGRICOLANDIA,640,3165
Sul,SC,AGROLANDIA,5460,1325
Sul,SC,AGRONOMICA,3073,658
Norte,PA,AGUA AZUL DO NORTE,4424,3122
Sudeste,MG,AGUA BOA,2796,4793
Centro-Oeste,MT,AGUA BOA,11324,3117
Nordeste,PI,AGUA BRANCA,3351,8576
Nordeste,PB,AGUA BRANCA,759,4992
Nordeste,AL,AGUA BRANCA,1004,9400
Centro-Oeste,MS,AGUA CLARA,4615,3267
Sudeste,MG,AGUA COMPRIDA,1004,755
Sul,SC,AGUA DOCE,3122,1306
Nordeste,MA,AGUA DOCE DO MARANHAO,1296,6618
Sudeste,ES,AGUA DOCE DO NORTE,3572,3953
Nordeste,BA,AGUA FRIA,1610,7361
Centro-Oeste,GO,AGUA FRIA DE GOIAS,2051,1380
Centro-Oeste,GO,AGUA LIMPA,954,787
Nordeste,RN,AGUA NOVA,258,2036
Nordeste,PE,AGUA PRETA,3720,10942
Sul,RS,AGUA SANTA,1868,815
Sudeste,SP,AGUAI,10429,6904
Sudeste,MG,AGUANIL,1439,1607
Nordeste,PE,AGUAS BELAS,4837,17762
Sudeste,SP,AGUAS DA PRATA,2902,1750
Sul,SC,AGUAS DE CHAPECO,1819,2068
Sudeste,SP,AGUAS DE LINDOIA,7991,3142
Sudeste,SP,AGUAS DE SANTA BARBARA,2464,1283
Sudeste,SP,AGUAS DE SAO PEDRO,2024,961
Sudeste,MG,AGUAS FORMOSAS,4582,6451
Sul,SC,AGUAS FRIAS,1234,925
Centro-Oeste,GO,AGUAS LINDAS DE GOIAS,44946,40369
Sul,SC,AGUAS MORNAS,3693,1389
Sudeste,MG,AGUAS VERMELHAS,1985,4657
Sul,RS,AGUDO,6146,4418
Sudeste,SP,AGUDOS,14648,7299
Sul,PR,AGUDOS DO SUL,4051,2343
Sudeste,ES,AGUIA BRANCA,2732,3781
Nordeste,PB,AGUIAR,621,2946
Norte,TO,AGUIARNOPOLIS,1039,1860
Sudeste,MG,AIMORES,7655,6314
Nordeste,BA,AIQUARA,719,2254
Nordeste,CE,AIUABA,961,7398
Sudeste,MG,AIURUOCA,1797,2094
Sul,RS,AJURICABA,3269,1660
Sudeste,MG,ALAGOA,1259,670
Nordeste,PB,ALAGOA GRANDE,3941,12179
Nordeste,PB,ALAGOA NOVA,2721,9259
Nordeste,PE,ALAGOINHA,1138,8364
Nordeste,PB,ALAGOINHA,1563,7210
Nordeste,PI,ALAGOINHA DO PIAUI,1086,3755
Nordeste,BA,ALAGOINHAS,26077,59147
Sudeste,SP,ALAMBARI,2512,1307
Sudeste,MG,ALBERTINA,1611,715
Nordeste,MA,ALCANTARA,2455,9671
Nordeste,CE,ALCANTARAS,1010,6372
Nordeste,PB,ALCANTIL,1417,2395
Centro-Oeste,MS,ALCINOPOLIS,1274,1320
Nordeste,BA,ALCOBACA,3706,8986
Nordeste,MA,ALDEIAS ALTAS,2038,11224
Sul,RS,ALECRIM,2411,2131
Sudeste,ES,ALEGRE,9391,8083
Sul,RS,ALEGRETE,19414,21787
Nordeste,PI,ALEGRETE DO PIAUI,636,2584
Sul,RS,ALEGRIA,1374,1306
Sudeste,MG,ALEM PARAIBA,9220,11582
Norte,PA,ALENQUER,15563,16020
Nordeste,RN,ALEXANDRIA,1292,7312
Centro-Oeste,GO,ALEXANIA,10643,5201
Sudeste,MG,ALFENAS,27225,19004
Sudeste,ES,ALFREDO CHAVES,6446,2927
Sudeste,SP,ALFREDO MARCONDES,1914,1190
Sudeste,MG,ALFREDO VASCONCELOS,1901,2824
Sul,SC,ALFREDO WAGNER,4733,1823
Nordeste,PB,ALGODAO DE JANDAIRA,293,1987
Nordeste,PB,ALHANDRA,5875,8886
Nordeste,PE,ALIANCA,5979,14929
Norte,TO,ALIANCA DO TOCANTINS,1446,1685
Nordeste,BA,ALMADINA,700,2767
Norte,TO,ALMAS,1248,2534
Norte,PA,ALMEIRIM,4855,11451
Sudeste,MG,ALMENARA,5975,15440
Nordeste,RN,ALMINO AFONSO,676,3289
Sul,PR,ALMIRANTE TAMANDARE,33534,24504
Sul,RS,ALMIRANTE TAMANDARE DO SUL,994,622
Centro-Oeste,GO,ALOANDIA,864,748
Sudeste,MG,ALPERCATA,2018,2484
Sul,RS,ALPESTRE,2446,2501
Sudeste,MG,ALPINOPOLIS,6768,5563
Centro-Oeste,MT,ALTA FLORESTA,22236,9059
Norte,RO,ALTA FLORESTA D'OESTE,9768,3959
Sudeste,SP,ALTAIR,1327,1037
Norte,PA,ALTAMIRA,39713,23852
Nordeste,MA,ALTAMIRA DO MARANHAO,861,2936
Sul,PR,ALTAMIRA DO PARANA,1147,1407
Nordeste,CE,ALTANEIRA,458,4532
Sudeste,MG,ALTEROSA,5364,4226
Nordeste,PE,ALTINHO,2992,9970
Sudeste,SP,ALTINOPOLIS,5136,4397
Sudeste,SP,ALTO ALEGRE,1874,898
Norte,RR,ALTO ALEGRE,6030,2123
Sul,RS,ALTO ALEGRE,816,648
Nordeste,MA,ALTO ALEGRE DO MARANHAO,2721,10671
Nordeste,MA,ALTO ALEGRE DO PINDARE,2533,12460
Norte,RO,ALTO ALEGRE DOS PARECIS,4237,1989
Centro-Oeste,MT,ALTO ARAGUAIA,5513,3245
Sul,SC,ALTO BELA VISTA,987,502
Centro-Oeste,MT,ALTO BOA VISTA,2175,717
Sudeste,MG,ALTO CAPARAO,2559,1062
Nordeste,RN,ALTO DO RODRIGUES,1723,7198
Sul,RS,ALTO FELIZ,1700,553
Centro-Oeste,MT,ALTO GARCAS,3802,2357
Centro-Oeste,GO,ALTO HORIZONTE,2540,1825
Sudeste,MG,ALTO JEQUITIBA,3581,1982
Nordeste,PI,ALTO LONGA,1612,8272
Centro-Oeste,MT,ALTO PARAGUAI,1817,2647
Sul,PR,ALTO PARAISO,1293,908
Norte,RO,ALTO PARAISO,6410,1995
Centro-Oeste,GO,ALTO PARAISO DE GOIAS,1955,3188
Sul,PR,ALTO PARANA,4583,3731
Nordeste,MA,ALTO PARNAIBA,1795,4147
Sul,PR,ALTO PIQUIRI,2762,2931
Sudeste,MG,ALTO RIO DOCE,1949,5303
Sudeste,ES,ALTO RIO NOVO,1988,2412
Nordeste,CE,ALTO SANTO,1776,7988
Centro-Oeste,MT,ALTO TAQUARI,3551,1777
Sul,PR,ALTONIA,7760,3685
Nordeste,PI,ALTOS,4800,23349
Sudeste,SP,ALUMINIO,5756,5127
