sg_uf;nm_municipio;cd_cargo;ds_cargo;nr_candidato;nm_candidato;nm_urna_candidato;sg_partido;ds_composicao_coligacao;nr_turno;ds_sit_totalizacao;dt_ult_totalizacao;sg_ue;sq_candidato;nm_tipo_destinacao_votos;sq_eleicao_divulga;qt_votos_nom_validos
AC;ACRELÂNDIA;1;Presidente;13;FERNANDO HADDAD;FERNANDO HADDAD;PT;PT / PC do B / PROS;2;Não Eleito;2019-02-27 18:15:58;BR;280000629808;Válido;2022802018;1300
AC;ASSIS BRASIL;1;Presidente;13;FERNANDO HADDAD;FERNANDO HADDAD;PT;PT / PC do B / PROS;2;Não Eleito;2019-02-27 18:15:58;BR;280000629808;Válido;2022802018;1660
AC;BRASILÉIA;1;Presidente;13;FERNANDO HADDAD;FERNANDO HADDAD;PT;PT / PC do B / PROS;2;Não Eleito;2019-02-27 18:15:58;BR;280000629808;Válido;2022802018;3208
AC;BUJARI;1;Presidente;13;FERNANDO HADDAD;FERNANDO HADDAD;PT;PT / PC do B / PROS;2;Não Eleito;2019-02-27 18:15:58;BR;280000629808;Válido;2022802018;1274
AC;CAPIXABA;1;Presidente;13;FERNANDO HADDAD;FERNANDO HADDAD;PT;PT / PC do B / PROS;2;Não Eleito;2019-02-27 18:15:58;BR;280000629808;Válido;2022802018;1086
AC;CRUZEIRO DO SUL;1;Presidente;13;FERNANDO HADDAD;FERNANDO HADDAD;PT;PT / PC do B / PROS;2;Não Eleito;2019-02-27 18:15:58;BR;280000629808;Válido;2022802018;7818
AC;EPITACIOLÂNDIA;1;Presidente;13;FERNANDO HADDAD;FERNANDO HADDAD;PT;PT / PC do B / PROS;2;Não Eleito;2019-02-27 18:15:58;BR;280000629808;Válido;2022802018;2026
AC;FEIJÓ;1;Presidente;13;FERNANDO HADDAD;FERNANDO HADDAD;PT;PT / PC do B / PROS;2;Não Eleito;2019-02-27 18:15:58;BR;280000629808;Válido;2022802018;5256
AC;JORDÃO;1;Presidente;13;FERNANDO HADDAD;FERNANDO HADDAD;PT;PT / PC do B / PROS;2;Não Eleito;2019-02-27 18:15:58;BR;280000629808;Válido;2022802018;1415
AC;MANOEL URBANO;1;Presidente;13;FERNANDO HADDAD;FERNANDO HADDAD;PT;PT / PC do B / PROS;2;Não Eleito;2019-02-27 18:15:58;BR;280000629808;Válido;2022802018;1621
AC;MARECHAL THAUMATURGO;1;Presidente;13;FERNANDO HADDAD;FERNANDO HADDAD;PT;PT / PC do B / PROS;2;Não Eleito;2019-02-27 18:15:58;BR;280000629808;Válido;2022802018;2451
AC;MÂNCIO LIMA;1;Presidente;13;FERNANDO HADDAD;FERNANDO HADDAD;PT;PT / PC do B / PROS;2;Não Eleito;2019-02-27 18:15:58;BR;280000629808;Válido;2022802018;2334
AC;PLÁCIDO DE CASTRO;1;Presidente;13;FERNANDO HADDAD;FERNANDO HADDAD;PT;PT / PC do B / PROS;2;Não Eleito;2019-02-27 18:15:58;BR;280000629808;Válido;2022802018;1837
