sg_uf;nm_municipio;cd_cargo;ds_cargo;nr_candidato;nm_candidato;nm_urna_candidato;sg_partido;ds_composicao_coligacao;nr_turno;ds_sit_totalizacao;dt_ult_totalizacao;sg_ue;sq_candidato;nm_tipo_destinacao_votos;sq_eleicao_divulga;qt_votos_nom_validos
AC;ACRELÂNDIA;1;Presidente;13;LUIZ INÁCIO LULA DA SILVA;LULA;PT;(PT/PC do B/PV) / SOLIDARIEDADE / (PSOL/REDE) / PSB / AGIR / AVANTE / PROS;2;Eleito;2022-10-31 00:28:52;BR;280001607829;Válido;2040602022;1460
AC;ASSIS BRASIL;1;Presidente;13;LUIZ INÁCIO LULA DA SILVA;LULA;PT;(PT/PC do B/PV) / SOLIDARIEDADE / (PSOL/REDE) / PSB / AGIR / AVANTE / PROS;2;Eleito;2022-10-31 00:28:52;BR;280001607829;Válido;2040602022;1895
AC;BRASILÉIA;1;Presidente;13;LUIZ INÁCIO LULA DA SILVA;LULA;PT;(PT/PC do B/PV) / SOLIDARIEDADE / (PSOL/REDE) / PSB / AGIR / AVANTE / PROS;2;Eleito;2022-10-31 00:28:52;BR;280001607829;Válido;2040602022;3958
AC;BUJARI;1;Presidente;13;LUIZ INÁCIO LULA DA SILVA;LULA;PT;(PT/PC do B/PV) / SOLIDARIEDADE / (PSOL/REDE) / PSB / AGIR / AVANTE / PROS;2;Eleito;2022-10-31 00:28:52;BR;280001607829;Válido;2040602022;1958
AC;CAPIXABA;1;Presidente;13;LUIZ INÁCIO LULA DA SILVA;LULA;PT;(PT/PC do B/PV) / SOLIDARIEDADE / (PSOL/REDE) / PSB / AGIR / AVANTE / PROS;2;Eleito;2022-10-31 00:28:52;BR;280001607829;Válido;2040602022;1497
AC;CRUZEIRO DO SUL;1;Presidente;13;LUIZ INÁCIO LULA DA SILVA;LULA;PT;(PT/PC do B/PV) / SOLIDARIEDADE / (PSOL/REDE) / PSB / AGIR / AVANTE / PROS;2;Eleito;2022-10-31 00:28:52;BR;280001607829;Válido;2040602022;9733
AC;EPITACIOLÂNDIA;1;Presidente;13;LUIZ INÁCIO LULA DA SILVA;LULA;PT;(PT/PC do B/PV) / SOLIDARIEDADE / (PSOL/REDE) / PSB / AGIR / AVANTE / PROS;2;Eleito;2022-10-31 00:28:52;BR;280001607829;Válido;2040602022;2464
AC;FEIJÓ;1;Presidente;13;LUIZ INÁCIO LULA DA SILVA;LULA;PT;(PT/PC do B/PV) / SOLIDARIEDADE / (PSOL/REDE) / PSB / AGIR / AVANTE / PROS;2;Eleito;2022-10-31 00:28:52;BR;280001607829;Válido;2040602022;7113
AC;JORDÃO;1;Presidente;13;LUIZ INÁCIO LULA DA SILVA;LULA;PT;(PT/PC do B/PV) / SOLIDARIEDADE / (PSOL/REDE) / PSB / AGIR / AVANTE / PROS;2;Eleito;2022-10-31 00:28:52;BR;280001607829;Válido;2040602022;1980
AC;MANOEL URBANO;1;Presidente;13;LUIZ INÁCIO LULA DA SILVA;LULA;PT;(PT/PC do B/PV) / SOLIDARIEDADE / (PSOL/REDE) / PSB / AGIR / AVANTE / PROS;2;Eleito;2022-10-31 00:28:52;BR;280001607829;Válido;2040602022;2047
AC;MARECHAL THAUMATURGO;1;Presidente;13;LUIZ INÁCIO LULA DA SILVA;LULA;PT;(PT/PC do B/PV) / SOLIDARIEDADE / (PSOL/REDE) / PSB / AGIR / AVANTE / PROS;2;Eleito;2022-10-31 00:28:52;BR;280001607829;Válido;2040602022;2742
AC;MÂNCIO LIMA;1;Presidente;13;LUIZ INÁCIO LULA DA SILVA;LULA;PT;(PT/PC do B/PV) / SOLIDARIEDADE / (PSOL/REDE) / PSB / AGIR / AVANTE / PROS;2;Eleito;2022-10-31 00:28:52;BR;280001607829;Válido;2040602022;2708
AC;PLÁCIDO DE CASTRO;1;Presidente;13;LUIZ INÁCIO LULA DA SILVA;LULA;PT;(PT/PC do B/PV) / SOLIDARIEDADE / (PSOL/REDE) / PSB / AGIR / AVANTE / PROS;2;Eleito;2022-10-31 00:28:52;BR;280001607829;Válido;2040602022;2306
AC;PORTO ACRE;1;Presidente;13;LUIZ INÁCIO LULA DA SILVA;LULA;PT;(PT/PC do B/PV) / SOLIDARIEDADE / (PSOL/REDE) / PSB / AGIR / AVANTE / PROS;2;Eleito;2022-10-31 00:28:52;BR;280001607829;Válido;2040602022;2317
AC;PORTO WALTER;1;Presidente;13;LUIZ INÁCIO LULA DA SILVA;LULA;PT;(PT/PC do B/PV) / SOLIDARIEDADE / (PSOL/REDE) / PSB / AGIR / AVANTE / PROS;2;Eleito;2022-10-31 00:28:52;BR;280001607829;Válido;2040602022;2093
AC;RIO BRANCO;1;Presidente;13;LUIZ INÁCIO LULA DA SILVA;LULA;PT;(PT/PC do B/PV) / SOLIDARIEDADE / (PSOL/REDE) / PSB / AGIR / AVANTE / PROS;2;Eleito;2022-10-31 00:28:52;BR;280001607829;Válido;2040602022;53873
AC;RODRIGUES ALVES;1;Presidente;13;LUIZ INÁCIO LULA DA SILVA;LULA;PT;(PT/PC do B/PV) / SOLIDARIEDADE / (PSOL/REDE) / PSB / AGIR / AVANTE / PROS;2;Eleito;2022-10-31 00:28:52;BR;280001607829;Válido;2040602022;1455
AC;SANTA ROSA DO PURUS;1;Presidente;13;LUIZ INÁCIO LULA DA SILVA;LULA;PT;(PT/PC do B/PV) / SOLIDARIEDADE / (PSOL/REDE) / PSB / AGIR / AVANTE / PROS;2;Eleito;2022-10-31 00:28:52;BR;280001607829;Válido;2040602022;1217
AC;SENA MADUREIRA;1;Presidente;13;LUIZ INÁCIO LULA DA SILVA;LULA;PT;(PT/PC do B/PV) / SOLIDARIEDADE / (PSOL/REDE) / PSB / AGIR / AVANTE / PROS;2;Eleito;2022-10-31 00:28:52;BR;280001607829;Válido;2040602022;4976
AC;SENADOR GUIOMARD;1;Presidente;13;LUIZ INÁCIO LULA DA SILVA;LULA;PT;(PT/PC do B/PV) / SOLIDARIEDADE / (PSOL/REDE) / PSB / AGIR / AVANTE / PROS;2;Eleito;2022-10-31 00:28:52;BR;280001607829;Válido;2040602022;3338
AC;TARAUACÁ;1;Presidente;13;LUIZ INÁCIO LULA DA SILVA;LULA;PT;(PT/PC do B/PV) / SOLIDARIEDADE / (PSOL/REDE) / PSB / AGIR / AVANTE / PROS;2;Eleito;2022-10-31 00:28:52;BR;280001607829;Válido;2040602022;6802
AC;XAPURI;1;Presidente;13;LUIZ INÁCIO LULA DA SILVA;LULA;PT;(PT/PC do B/PV) / SOLIDARIEDADE / (PSOL/REDE) / PSB / AGIR / AVANTE / PROS;2;Eleito;2022-10-31 00:28:52;BR;280001607829;Válido;2040602022;3634
AL;ANADIA;1;Presidente;13;LUIZ INÁCIO LULA DA SILVA;LULA;PT;(PT/PC do B/PV) / SOLIDARIEDADE / (PSOL/REDE) / PSB / AGIR / AVANTE / PROS;2;Eleito;2022-10-31 00:28:52;BR;280001607829;Válido;2040602022;6166
AL;ARAPIRACA;1;Presidente;13;LUIZ INÁCIO LULA DA SILVA;LULA;PT;(PT/PC do B/PV) / SOLIDARIEDADE / (PSOL/REDE) / PSB / AGIR / AVANTE / PROS;2;Eleito;2022-10-31 00:28:52;BR;280001607829;Válido;2040602022;61009
AL;ATALAIA;1;Presidente;13;LUIZ INÁCIO LULA DA SILVA;LULA;PT;(PT/PC do B/PV) / SOLIDARIEDADE / (PSOL/REDE) / PSB / AGIR / AVANTE / PROS;2;Eleito;2022-10-31 00:28:52;BR;280001607829;Válido;2040602022;13340
AL;BARRA DE SANTO ANTÔNIO;1;Presidente;13;LUIZ INÁCIO LULA DA SILVA;LULA;PT;(PT/PC do B/PV) / SOLIDARIEDADE / (PSOL/REDE) / PSB / AGIR / AVANTE / PROS;2;Eleito;2022-10-31 00:28:52;BR;280001607829;Válido;2040602022;5155
AL;BARRA DE SÃO MIGUEL;1;Presidente;13;LUIZ INÁCIO LULA DA SILVA;LULA;PT;(PT/PC do B/PV) / SOLIDARIEDADE / (PSOL/REDE) / PSB / AGIR / AVANTE / PROS;2;Eleito;2022-10-31 00:28:52;BR;280001607829;Válido;2040602022;2699
AL;BATALHA;1;Presidente;13;LUIZ INÁCIO LULA DA SILVA;LULA;PT;(PT/PC do B/PV) / SOLIDARIEDADE / (PSOL/REDE) / PSB / AGIR / AVANTE / PROS;2;Eleito;2022-10-31 00:28:52;BR;280001607829;Válido;2040602022;6393
AL;BELO MONTE;1;Presidente;13;LUIZ INÁCIO LULA DA SILVA;LULA;PT;(PT/PC do B/PV) / SOLIDARIEDADE / (PSOL/REDE) / PSB / AGIR / AVANTE / PROS;2;Eleito;2022-10-31 00:28:52;BR;280001607829;Válido;2040602022;3113
AL;BELÉM;1;Presidente;13;LUIZ INÁCIO LULA DA SILVA;LULA;PT;(PT/PC do B/PV) / SOLIDARIEDADE / (PSOL/REDE) / PSB / AGIR / AVANTE / PROS;2;Eleito;2022-10-31 00:28:52;BR;280001607829;Válido;2040602022;2406
